time_s,X_M_m,Y_M_m,psi_M_rad,v_M_mps,delta_R_rad
60.72876024,48.31644708,0.09943038059,0.3052527146,0.2000002565,-0.004230648064
61.02911735,48.3736742,0.1174599517,0.3051637664,0.2000002297,-0.004664107205
61.33047628,48.43090298,0.1354842196,0.3050681041,0.2000002078,-0.004902038696
61.62872458,48.48813351,0.153502906,0.3049693233,0.2000001895,-0.004975947871
61.92901778,48.54536583,0.171515921,0.3048704125,0.2000001741,-0.004915046288
62.22898269,48.6025999,0.1895233292,0.3047738013,0.2000001609,-0.004745991296
62.5293889,48.65983568,0.2075253196,0.304681413,0.2000001494,-0.004492763124
62.82859564,48.71707306,0.225522178,0.3045947183,0.2000001394,-0.004176641213
63.12893343,48.77431195,0.2435142626,0.3045147888,0.2000001306,-0.003816260348
63.4293797,48.8315522,0.261501983,0.3044423455,0.2000001227,-0.003428039579
63.72881556,48.88879368,0.2794857809,0.304377806,0.2000001156,-0.003025882473
64.02851582,48.94603625,0.2974661145,0.3043213343,0.2000001092,-0.002621268025
64.3287406,49.00327976,0.3154434452,0.3042728863,0.2000001035,-0.00222351517
64.62974405,49.06052407,0.333418227,0.3042322509,0.2000000982,-0.001840021026
64.92906332,49.11776904,0.351390898,0.3041990858,0.2000000935,-0.001476484208
65.22958398,49.17501454,0.3693618735,0.3041729498,0.2000000891,-0.001137116483
65.52895045,49.23226045,0.3873315416,0.3041533302,0.2000000851,-0.0008248427005
65.82960868,49.28950665,0.4053002594,0.3041396669,0.2000000814,-0.0005414879771
66.12877226,49.34675306,0.4232683512,0.3041313725,0.200000078,-0.0002879510007
66.42940378,49.40399956,0.4412361074,0.3041278493,0.2000000748,-6.43632808e-05
66.73109579,49.46124609,0.4592037839,0.304128503,0.2000000718,0.0001297286972
67.02845025,49.51849258,0.4771716033,0.3041327521,0.2000000691,0.0002951879739
67.32852197,49.57573896,0.4951397551,0.3041400377,0.2000000665,0.0004333715728
67.62915158,49.63298518,0.5131083981,0.3041498314,0.2000000641,0.0005459911984
67.92890477,49.69023121,0.5310776615,0.3041616411,0.2000000618,0.0006349781507
